description	filename	checksum
washu-gbm-mature_miRNA	washu-gbm-mature_miRNA-GBM_mature_miRNA_combined.tsv.gz	23b4f38fc7ed7adbd563214b63f31c79
washu-gbm-precursor_miRNA	washu-gbm-precursor_miRNA-GBM_precursor_miRNA_combined.tsv.gz	8675293ed84f1cefe888ecfe67ab35d1
washu-gbm-somatic_mutation	washu-gbm-somatic_mutation-GBM_discovery.dnp.annotated.exonic.maf.gz	3cffca48a6058ec45f6e18e9f104f286
washu-gbm-total_miRNA	washu-gbm-total_miRNA-GBM_total_miRNA_combined.tsv.gz	7896a592137254b26e0846e73ed050f7
washu-gbm-transcriptomics	washu-gbm-transcriptomics-GBM_tumor_RNA-Seq_Expr_WashU_FPKM.tsv.gz	28ef3f67257aed0cd3827f3c01d9fdc9
washu-gbm-xcell	washu-gbm-xcell-GBM_xCell.txt.gz	9ccf86bf075f19759dc5df8e17ad2594
washu-hnscc-cibersort	washu-hnscc-cibersort-CIBERSORT.Output_Abs_HNSCC.txt.gz	5832693c218085ce2e4f159185389f02
washu-hnscc-CNV	washu-hnscc-CNV-HNSCC.gene_level.from_seg.filtered.tsv.gz	4de63ec69723902baff82ce642e332e3
washu-hnscc-mapping	washu-hnscc-mapping-gencode.v22.annotation.gtf.gz	291330bdcff1094bc4d5645de35e0871
washu-hnscc-mature_miRNA	washu-hnscc-mature_miRNA-HNSCC_mature_miRNA_combined.tsv.gz	4bcaa5d00b3d43dfdb4e5a8d2e71ba64
washu-hnscc-precursor_miRNA	washu-hnscc-precursor_miRNA-HNSCC_precursor_miRNA_combined.tsv.gz	522288c1c8c98d143ce54840c089a7e8
washu-hnscc-somatic_mutation	washu-hnscc-somatic_mutation-HNSCC_discovery.dnp.annotated.exonic.maf.gz	55deeddee75dadf77e58074cce5b7d4e
washu-hnscc-total_miRNA	washu-hnscc-total_miRNA-HNSCC_total_miRNA_combined.tsv.gz	8a55eb6873c64cb6034a190503ddf864
